! azimuth/altitude 100-point grid with altitude range 13-82 deg
 
! azimuth   altitude
!  (deg)      (deg)
    90.24     39.46
    55.80     42.19
   107.15     24.94
   125.01     38.26
   196.03     27.29
   224.12     23.23
   202.54     15.61
   129.15     13.24
   239.89     25.99
   225.04     66.57
   120.66     24.18
    72.06     54.91
    -6.83     68.25
   -73.32     61.34
   -42.27     23.12
   -88.82     73.90
  -103.06     61.27
   -72.93     49.55
   -30.56     14.35
    47.32     56.96
   248.88     13.47
   234.87     13.35
   231.07     39.97
   261.05     24.36
   252.40     34.32
   199.07     60.96
   177.09     71.13
   154.92     13.57
   236.43     52.77
   188.56     37.93
   211.12     31.03
   264.86     13.15
   179.60     24.26
   169.82     33.87
   214.00     13.71
   292.53     37.66
   215.33     45.60
   112.02     13.09
    22.66     25.68
    35.45     52.26
   -32.24     79.51
   -43.28     63.75
   -47.79     36.93
    41.04     34.27
    46.76     13.22
    58.38     15.39
   115.75     51.12
   131.66     76.27
   132.80     26.02
   136.72     46.09
   181.76     13.39
   143.31     14.07
   156.60     45.54
   220.53     81.21
   268.85     46.37
   162.85     58.30
   103.52     65.02
    27.80     14.06
    36.29     22.62
   -70.50     13.58
   -59.28     24.66
   -53.51     49.10
   -76.13     25.89
   -25.25     26.34
     1.42     15.03
   -31.55     37.07
    15.48     13.07
    32.93     46.19
    18.42     57.28
    28.41     69.39
    72.68     42.63
    86.20     13.73
    17.48     40.50
    73.92     30.14
    55.10     81.17
    92.51     52.30
   100.20     13.38
   168.60     13.44
   195.63     49.67
   106.36     37.47
    57.72     29.86
    90.32     26.31
   159.10     25.90
   192.39     13.27
    70.90     67.68
   176.72     47.21
   147.19     33.50
   138.58     61.24
    72.41     13.24
   -33.29     51.39
     8.66     30.63
    -7.16     23.89
   -12.45     36.51
     0.91     44.93
   -82.32     13.64
   -90.24     33.85
  -108.91     46.25
   -11.36     54.89
   -16.54     14.48
   -52.22     13.58
