! azimuth/altitude 20 point grid with altitude range 13-82 deg
 
! azimuth   altitude
!  (deg)      (deg)
    91.02     51.43
   126.52     15.08
   157.42     13.08
   186.07     13.00
   222.13     14.54
   285.75     13.34
   255.87     13.81
   220.30     46.80
   171.99     70.49
   144.60     44.36
   -27.77     76.93
   -85.23     51.70
  -115.92     27.33
   -44.09     15.04
    37.16     49.66
    91.97     17.13
    63.05     16.93
    24.62     15.35
   -11.22     14.18
   -18.27     46.71
